,Ulasan,Label,clean_teks
450,Barang yg dikirim di pesanan berikutnya beda dgn yg pertama tanpa tombol on off dan bermasalah tidak bisa di bersihkan coretannya.,0,barang kirim pesan beda tombol on off masalah sih coret
451,Barang baru dipakai beberapa hari tidak bisa di clear bekas coretannya.,0,barang pakai clear bekas coret
452,"Pesanan di prosesnya lama padahal langsung konfirmasi warna minta warna hitam setelah checkout tp ngotot di tolak penjual tetep kirim random, dan ternyata barang yg dikirimkan barang rusak tidak bisa reset display setelah di corat coret pantes ngotot kirim random. Pesan senin gak di proses2 dan br sampai hari jumat dan cuma jd rongsokan. NOT RECOMMENDED SELLER",0,pesan proses langsung konfirmasi warna warna hitam checkout tp ngotot tolak jual tetep kirim random barang kirim barang rusak reset display corat coret pantes ngotot kirim random pesan senin gak proses br jumat jd rongsok not rekomen seller
453,Dah ditulis tp ndk bisa dihapus😭😭😭😭,0,dah tulis tp ndk hapus
454,Barangnya kosooooong...,0,barang kosooooong
455,SAMPAH! Anggap aja sedekah deh... Ini produk sampah. Langsung gak bisa dipake begitu dibuka... Stay away!,0,sampah anggap aja sedekah deh produk sampah langsung gak dipake buka stay away
456,Minta kuning di kasih gold.  Tak ada omongan pula,0,kuning kasih gold omong
457,"Gak ad barang!!
Mohon diperbaiki pelayanannya.. HARGAI PEMBELI.. Jangan asal kirim pesanan kl barang gak ada  atau gak sesuai pesanan.. Nanya dulu sharusnya..masih mau gak",0,gak ad barang mohon baik layan harga beli kirim pesan kl barang gak gak sesuai pesan nanya sharusnyamasih gak
458,Salah ukuran............ Kurang diperhatikan bagi penjual,0,salah ukur perhati jual
459,"Barang tidak fungsi, setiap pengiriman mohon dicek kembali....",0,barang fungsi kirim mohon cek
460,"Sangat kecewa, saya udah tanya&amp;#34; readynya barang dari malam tgl 2, dan saya order subuh 04.55 tangl 3. bukannya dikirim pagi atau sore ditgl 3. malah di undur terus pengiriman dan selalu beralasan, saya BEBERAPA KALI MINTA CANCEL DAN SERIBU ALASAN JUGA.
saya kaya gini karena butuh cepan converter hdmi nya. dan 3 BARANG LAINNYA. terpaksa saya order ditoko kota saya. jd yg paket ini ngak kepake. percuma, karena presentasi saya senin td pagi.
saya order ditoko ini karena hitungan saya sabtu minggu sudah sampe jika dikirim tgl 3 sore. karena jnt minggu tetap buka.
DAN TAUnya DIKIRIM TGL 5 siang, dan baru sampe sekarang, buang buang uang. dan disruh cancel otomatis dan dicancel pun alasannya bayak.",0,kecewa udah tanyaamp readynya barang malam tgl order subuh tangl kirim pagi sore ditgl undur kirim alas kali cancel ribu alas kaya gin butuh cepan converter hdmi nya barang paksa order toko kota jd paket ngak kepake presentasi senin td pagi order toko hitung sabtu minggu sampe kirim tgl sore jnt minggu buka tau kirim tgl siang sampe buang buang uang disruh cancel otomatis dicancel alas bayak
461,"Barang sesuai dengan gambar.
Kualitas suara kurang baik. Selalu berdengung kecuali saat mic di off. Saran tolong pilihan jasa kurir ditambah. Jangan j&amp;at saja. Soalnya kemarin saya ambil sendiri di gudang",0,barang sesuai gambar kualitas suara dengung kecuali mic off saran tolong pilih jasa kurir tambah jampat kemarin ambil gudang
462,Tdk ada logo jbl nya huuuffffg,0,tdk logo jbl nya huuuffffg
463,Pesen 4 barang yg nyampe 2.. Walopun di refund cash.. Tp harusnya ad konfirmasi dulu...,0,sen barang nyampe walopun refund cash tp ad konfirmasi
464,Sory ya gan gw kecewa 🙏,0,sory ya gan gw kecewa
465,"barang tidak dikirim, tp cukup tanggungjawab lah. karna di kembalikan uang cash di selipkan kiriman yg lain",0,barang kirim tp tanggungjawab karna kembali uang cash selip kirim
466,Barang tidak fungsi di charger malah panas,0,barang fungsi charger panas
467,Maaf tidak sesuai deskripsi. Harusnya konfirmasi dulu sebelum kirim jika beda dengan deskripsi. Keterangan doff yg datang bening botolnya. Trims,0,maaf sesuai deskripsi konfirmasi kirim beda deskripsi terang doff bening botol terima kasih
468,Pesanan tidak sesuai deskripsi. Pesan Ni-CD dikirim Ni-MH,0,pesan sesuai deskripsi pesan ni-cd kirim ni-mh
469,Tidak sesuai di gambar ya..tp harga segitu..ya sudah lah ya.  ....,0,sesuai gambar yatp harga segituya ya
470,cukup baik sesuai harga,0,sesuai harga
471,jangan beli disini barangnya gak bagus,0,beli barang gak bagus
472,"Barang tidak berfungsi baik , face id jadi tidak jalan ,  face id menyatu dengan flexible connector speaker",0,barang fungsi face id jalan face id satu flexible connector speaker
473,"Tetap blackscreen LCD nya gan,terimakasih atas pengalaman serta tambahan ilmunya gan,mau diretur tetap ga bisa posisi lcd sudah terpasang diframe nya,tested blackscreen,tp saya biarkan sampai lampu layar padam(posisi standby.trus kami tekan tombol power bisa masuk home/menu terlihat jelas/normal,setelah kami pasang di frame dgn sangat hati2 jd blackscreen sampai seterusnya,diretur jelas ga bisa,segel sudah rusak",0,blackscreen lcd nya ganterimakasih alam tambah ilmu ganmau retur ga posisi lcd pasang diframe nyatested blackscreentp biar lampu layar padamposisi standbytrus tekan tombol power masuk home menu jelas normalsetelah pasang frame hati jd blackscreen seterusnyadiretur ga bisasegel rusak
474,"salah kasih barang, hati2 untuk toko ini",0,salah kasih barang hati toko
475,Touch screen tidak berfungi,0,touch screen fungi
476,"Bukan original apple melainkan original spare part, mohon lain kali tidak terulang hal seperti ini",0,original apple original spare part mohon kali ulang
477,Kualitas parah.. kirimin pertama blank.. returan kedap kedip bergaris..,0,kualitas parah kirimin blank retur kedap kedip gar
478,Baru dipakai 2 hari udah gk bisa nyala lcdnya,0,pakai udah gk nyala lcdnya
479,TS nya ga fungsi ........,0,ts nya ga fungsi
480,"Seller ketik dilapaknya Advan S5E Full View 4G, padahal buat S5E Pro 4G, kayaknya judul lapak udah diganti. pas dichat jawabnya datar, katanya tak ada retur kalo salah tipe, padahal sellernya yg salah ketik., tak ada solusi, akhirnya, ya begono ...",0,seller ketik lapak advan full view g pro g kayak judul lapak udah ganti pas dichat datar retur kalo salah tipe sellernya salah ketik solusi ya begono
481,Barang cepat sampe cuma nga berfungsi atau nga bisa pake gan . Bukan ori juga,0,barang cepat sampe nga fungsi nga pake gan ori
482,"barang sudah sy trima, cuma frame nya tidak sesuai pesanan, di chat buat solusi cuma di baca saja, sungguh kecewa.",0,barang sy trima frame nya sesuai pesan chat solusi baca sungguh kecewa
483,lubang tdk presisi dan miring.,0,lubang presisi miring
484,"memuaskan. I love Tokopedi
a.suksma Tokopedia.",0,muas i love tokopedi asuksma tokopedia
485,longgar .............................................,0,longgar
486,maf gan.anti gores ny.kok ada gelembung gt saat d pakai.jd jelek kelihatan hpny.,0,maf gananti gores nykok gelembung gt d pakaijd jelek hpny
487,"Keterangan isi 10,,ternyata 1 biji,, biji lo tuh muahal baut segitu 5rb",0,terang isi biji biji lo tuh muahal baut segitu rb
488,Sesuai dengan pesanan tapi packing kurang rapi,0,sesuai pesan packing rapi
489,"barang ok, tp pelayanan kurang",0,barang ok tp layan
490,"Produk tidak dikirim, uangnya diambil penjual",0,produk kirim uang ambil jual
491,"Bukan barang baru, ic mati",0,barang ic mati
492,Fast respon cuma barang tdk sesuai foto ok makasi ya,0,cepat respon barang sesuai foto ok makas ya
493,"Dengan tidak mengurangi rasa hormat terhadap penjual. Tapi kelima IC ini palsu. Tidak bisa berfungsi mengantikan IC yg asli. Sekali mohon maaf saya tahu ini bukan salah penjual, pemalsuan semikonduktor sering terjadi belakangan ini yg berasal dari pabrikan.",0,kurang hormat jual ic palsu fungsi anti ic asli mohon maaf salah jual palsu semikonduktor asal pabrikan
494,hanya ini yg sampai.....,0,
495,Barang tidak lengkap .tidak sesuwai jawaban diskusi....,0,barang lengkap sesuwai diskusi
496,"Photo transistor tidak sesuai dengan produk yg dikirim. Yang dikirim transistor palsu, tulisan di transistor hanya sablonan. Begitu transistor di pasang langsung jebol",0,photo transistor sesuai produk kirim kirim transistor palsu tulis transistor sablon transistor pasang langsung jebol
497,Barangnya sampai tidak sesuai pesanan,0,barang sesuai pesan
498,"alhamduliah, barang sudah diterima.
tapi kang, kabel usb nyakok warna grey ? padahal saya pesan putih.
setelah saya  test  barangnya, alhamdulialh lancar.
trims ya kang.",0,alhamduliah barang terima kang kabel usb nyakok warna grey pesan putih test barang alhamdulialh lancar terima kasih ya kang
499,"kayaknya enggak ori, pengisian lambat tidak seperti orinya",0,kayak ori isi lambat orinya
500,"Terima kasih yaaa, order apa yg dikirim apa. Padahal sdh diskusi produk ready dan notes di invoice lengkap. :)",0,terima kasih yaaa order kirim diskusi produk ready notes invoice lengkap
501,Pelayanan kurang memuaskan.slow respon sangat,0,layan memuaskanslow respon
502,Merk campur beda2.. kualitas sesuai harga,0,merk campur beda kualitas sesuai harga
503,produknya ukurannya melebar. gak sesuai gambar. tolong ditingkatkan lagi kualitas barang gan.,0,produk ukur lebar gak sesuai gambar tolong tingkat kualitas barang gan
504,"Tidak sesuai pesanan,pesan size M dateng size XL",0,sesuai pesananpesan size m dateng size xl
505,Kesesuaian dengan deskripsi kurang gk pake busa hanya pake kawat.,0,sesuai deskripsi gk pake busa pake kawat
506,"Barang sudah diterima dan tidak sesuai dgn ukurannya, ukuran XL anak2",0,barang terima sesuai ukur ukur xl anak
507,"tidak sesuai dengan deskripsi

Kecewa sama online shop ini...

Awalnya saya kira ya kalau bodypack mah aman... Bagus jadi mau coba... Jadi setelah dikirim saya lihatnya belakangan... Pas di lihat eh ternyata...

Detail ukuran tidak jelas &amp; meleset dr angkanya... 

Yang paling menonjol di sletingnya yg tidak sesuai... Ingin retur kalau bisa...

Saya meragukan ini toko official store dari bodypack...",0,sesuai deskripsi kecewa online shop ya bodypack mah aman bagus coba kirim lihat pas lihat eh detail ukur amp meleset dr angka tonjol sletingnya sesuai retur ragu toko official store bodypack
508,Official store tp buruk. Saya kecewa,0,official store tp buruk kecewa
509,"Yang di pesan dan Beda yang dikirim,",0,pesan beda kirim
510,Ga sesuai kaya barang loakan,0,ga sesuai kaya barang loak
511,"Gak sesuai gambar, bahannya mirip jaket 50rbuan",0,gak sesuai gambar bahan jaket rbuan
512,harga 200rb&#39;an . kualitas 70 rb&#39;an . maap sedikit kecewa,0,harga rban kualitas rban maap kecewa
513,Sssobek...........,0,sssobek
514,Barang sudah 2 minggu sy kirim Sis.tolong dikirim kembali krn sepatu yg dikomplen mau dihadiahkan ke saudara..sy tunggu kirimannya dr bata official,0,barang minggu sy kirim sistolong kirim krn sepatu dikomplen hadiah saudarasy tunggu kirim dr bata official
515,"Bagus sich tapi sayang banget blm di pakai udah sobek dikit2 dipinggirnya,,kalau mau kirim dicek dulu ya...",0,bagus sich sayang banget blm pakai udah sobek dikit dipinggirnyakalau kirim cek ya
516,sangat kecewa. produk yang dikirim tidak seperti di gambar. yang dikirim malah warna putih. benar benar kecewa,0,kecewa produk kirim gambar kirim warna putih kecewa
517,Sangat buruk sekali...saya uda bayar sy komplen uda saya kirim barangnya  tapi barang tidak dikirim kembali kesaya..sangat buruk pelayanannya dan sangat menyesal sama percaya bgitu saja.katanya mau kirim tetapi sy ud mnunggu cukup lama tidak dikirim..sangat sangat kecewa  telah membeli,0,buruk sekalisaya uda bayar sy komplen uda kirim barang barang kirim kesayasangat buruk layan sesal percaya bgitu sajakatanya kirim sy ud mnunggu dikirimsangat kecewa beli
518,"Proses barang lama, padahal lagi butuh :(",0,proses barang butuh
519,"trimakasih 1hr lgsug sampe,maf bru konfr",0,trimakasih hr lgsug sampemaf bru konfr
520,"stock lama
sudah bnyk terkelupas",0,stock bnyk kelupas
521,"Kegedean banget no 36 kyk no 37, gk kepake akhirnya.",0,gede banget no kyk no gk kepake
522,"Kecewa berat !!!
1. Respon penjual sangat lama, kurang dari 1 jam sebelum auto cancel, resi baru diinput
2. Diminta penggantian Size via chat, dijawab &#34;Iya&#34; tapi ternyata tidak diganti.
3. Mengganti kurir tanpa pemberitahuan terlebih dahulu, akibatnya saya kena charge lebih dan satu barang tidak jadi dikirim untuk mengganti kelebihan ongkos kirim.
4. Salah penulisan alamat, sehingga paket misroute sampai 2 kali.
5. Ketika diminta menghubungi kurir untuk merevisi alamat, hanya dijawab &#34;kami cek dulu&#34; lalu menghilang !!! 
Saya akan ubah feedback ini jika ada tanggung jawab anda untuk menyelesaikan masalah ini !!!",0,kecewa berat respon jual jam auto cancel resi diinput ganti size via chat iya ganti ganti kurir pemberitahuan akibat kena charge barang kirim ganti lebih ongkos kirim salah tulis alamat paket misroute kali hubung kurir revisi alamat cek hilang ubah feedback tanggung selesai
523,"Kecewa berat !!!
1. Respon penjual sangat lama, kurang dari 1 jam sebelum auto cancel, resi baru diinput
2. Diminta penggantian Size via chat, dijawab &#34;Iya&#34; tapi ternyata tidak diganti.
3. Mengganti kurir tanpa pemberitahuan terlebih dahulu, akibatnya saya kena charge lebih dan satu barang tidak jadi dikirim untuk mengganti kelebihan ongkos kirim.
4. Salah penulisan alamat, sehingga paket misroute sampai 2 kali.
5. Ketika diminta menghubungi kurir untuk merevisi alamat, hanya dijawab &#34;kami cek dulu&#34; lalu menghilang !!! 
Saya akan ubah feedback ini jika ada tanggung jawab anda untuk menyelesaikan masalah ini !!!",0,kecewa berat respon jual jam auto cancel resi diinput ganti size via chat iya ganti ganti kurir pemberitahuan akibat kena charge barang kirim ganti lebih ongkos kirim salah tulis alamat paket misroute kali hubung kurir revisi alamat cek hilang ubah feedback tanggung selesai
524,Produk out of stock dipakai nomor resi produk pengiriman sebelumnya. Saya sampai curiga sama tetangga dan kurir JNE. Memang sudah dikasih barang pengganti tapi tetap saja ketidak telitian kalian membuat hubungan saya dengan orang lain tidak baik. Mohon diperbaiki ke depannya.,0,produk out of stock pakai nomor resi produk kirim curiga tetangga kurir jne kasih barang ganti tidak teliti hubung orang mohon baik depan
525,"Dari pemesanan sampai pengiriman membutuhkan waktu cukup lama sampai 3 hari baru di kirim. Packing selama itu?? Mungkin pesanan banyak tapi merchant lain pun sama kayaknya. Padahal kalo di lihat dari tracknya sehari aja udah sampai, barang yang biasanya saya pesan normal diterima 1-2 hari ini bisa seminggu.",0,mesan kirim butuh kirim packing pesan merchant kayak kalo lihat tracknya hari aja udah barang pesan normal terima - minggu
526,"Udah order ternyata stok ga tersedia,  harusnya klo ga ada jangan dulu di pasang di etalasee",0,udah order stok ga sedia klo ga pasang etalasee
527,..................................,0,
528,"sakit pake di kaki, lecet.",0,sakit pake kaki lecet
529,sepatunya berbeda dengan fotonya ..... tingkatkan profesionalisme agar tidak memalukan sebagai official store bata,0,sepatu beda foto tingkat profesionalisme malu official store bata
530,"Kulit sepatu ada yg sedikit sobek, bagian pita hampir copot",0,kulit sepatu sobek pita copot
531,Pesen julio dikirimnya evoluti,0,sen julio kirim evoluti
532,"Kecewa, Sepatu baru dipake jalan 1x jangka waktu 1 jam tali putus... 
bahan kulit juga tidak mulus ada lem2",0,kecewa sepatu dipake jalan x jangka jam tali putus bahan kulit mulus lem
533,Hmm gimana ya :) parah si,0,hmm gimana ya parah si
534,Kecewa banget pilih ukuran dewasa no 38 malah dikirim no 5 ukuran anak,0,kecewa banget pilih ukur dewasa no kirim no ukur anak
535,Produk jelek dipakai tapaknya lepas,0,produk jelek pakai tapak lepas
536,"Kecewa berat !!!
1. Respon penjual sangat lama, kurang dari 1 jam sebelum auto cancel, resi baru diinput
2. Diminta penggantian Size via chat, dijawab &#34;Iya&#34; tapi ternyata tidak diganti.
3. Mengganti kurir tanpa pemberitahuan terlebih dahulu, akibatnya saya kena charge lebih dan satu barang tidak jadi dikirim untuk mengganti kelebihan ongkos kirim.
4. Salah penulisan alamat, sehingga paket misroute sampai 2 kali.
5. Ketika diminta menghubungi kurir untuk merevisi alamat, hanya dijawab &#34;kami cek dulu&#34; lalu menghilang !!! 
Saya akan ubah feedback ini jika ada tanggung jawab anda untuk menyelesaikan masalah ini !!!",0,kecewa berat respon jual jam auto cancel resi diinput ganti size via chat iya ganti ganti kurir pemberitahuan akibat kena charge barang kirim ganti lebih ongkos kirim salah tulis alamat paket misroute kali hubung kurir revisi alamat cek hilang ubah feedback tanggung selesai
537,"Kecewa, barang blm sampai...............",0,kecewa barang blm
538,"GAN, KALAU PACKING YG BENER AJA DONG. MASA KERTAS NYA ROBEK! KECEWA",0,gan packing bener aja kertas nya robek kecewa
539,"Official Brand Bata menjual barang reject tanpa keterangan, sangat mengecawakan..",0,official brand bata jual barang reject terang cawak
540,"barang sudah di terima, size gk sesuai.
minta tuker ,malah gk di kasih alamat nya.",0,barang terima size gk sesuai tuker gk kasih alamat nya
541,"saya, blm nerima barang nya Sandal Bata obama no 41, sudah saya upayakan, diskusi ke toped, saya suruh mengaupload foto barang, gmn mo foto, nerima barang nya aja enggk, mohon di cek lagi transaksi atas nama may ahmada umbara, tasikmalaya, satu invoice dg pesanan saya ke sandal anak bubblegumers, transaksi sudah selesai tp saya gk nerima barang dari toko ini, silahkan cek transaksi nya, no resi pun tidak pernah saya terima.terimakasih.",0,blm nerima barang nya sandal bata obama no upaya diskusi toped suruh mengaupload foto barang gmn mo foto nerima barang nya aja enggk mohon cek transaksi nama may ahmada umbara tasikmalaya invoice dg pesan sandal anak bubblegumers transaksi selesai tp gk nerima barang toko silah cek transaksi nya no resi terimaterimakasih
542,"Ukurannya lebih besar dari deskripsi dan sendal pd umumnya. Di catatan toko tertulis kebijakan tukar ukuran bisa. Tpi kenyataannya pelayanan SO BAD!!! klo mmg gk bisa tukar, blg dri awal gpp. Ini malah di kacangin!! SO BAD!!!",0,ukur deskripsi sendal pd catat toko tulis bijak tukar ukur nyata layan so bad klo mmg gk tukar blg dri gpp kacangin so bad
543,minta tahu dikirim tempe...!,0,kirim tempe
544,"Order pakai Jnt tapi dikirim pakai POS 
Barang sesuai pesanan dan packing rapi.
Terimakasih",0,order pakai jnt kirim pakai pos barang sesuai pesan packing rapi terimakasih
545,"APA YANG MAU SAYA ULAS, PRODUK INI TIDAK JADI DIKIRIM OLEH PENJUAL, !!!

Kecewa berat !!!
1. Respon penjual sangat lama, kurang dari 1 jam sebelum auto cancel, resi baru diinput
2. Diminta penggantian Size via chat, dijawab &#34;Iya&#34; tapi ternyata tidak diganti.
3. Mengganti kurir tanpa pemberitahuan terlebih dahulu, akibatnya saya kena charge lebih dan satu barang tidak jadi dikirim untuk mengganti kelebihan ongkos kirim.
4. Salah penulisan alamat, sehingga paket misroute sampai 2 kali.
5. Ketika diminta menghubungi kurir untuk merevisi alamat, hanya dijawab &#34;kami cek dulu&#34; lalu menghilang !!! 
Saya akan ubah feedback ini jika ada tanggung jawab anda untuk menyelesaikan masalah ini !!!",0,ulas produk kirim jual kecewa berat respon jual jam auto cancel resi diinput ganti size via chat iya ganti ganti kurir pemberitahuan akibat kena charge barang kirim ganti lebih ongkos kirim salah tulis alamat paket misroute kali hubung kurir revisi alamat cek hilang ubah feedback tanggung selesai
546,"Saya kecewa dan kesel banget sama official store bata. Beli sandal nomor 42 yg dikirim malah nomor 40. Pantes aja gak muat pas di coba. Katanya ada nomor 42 pas saya chat. Saya kira gak ada masalah dalam pengiriman barang, ternyata ada. Mana udah terlanjut klik &#34;selesai&#34; sebelum paket dibuka krn mikirnya gak ada masalah. Tolong ya tanggung jawabnya sbg penjual ini sandalnya. Tks.",0,kecewa kesel banget official store bata beli sandal nomor kirim nomor pantes aja gak muat pas coba nomor pas chat gak kirim barang udah lanjut klik selesai paket buka krn mikirnya gak tolong ya tanggung sbg jual sandal tks
547,"pemakaian satu hari , bisa jebol begini ?",0,pakai jebol
548,Kayak sepatu bekas sudah mengelupas..,0,kayak sepatu bekas kelupas
549,Barang reject dijual murah.. payah diskonnya nipu. Kapok beli Bata di online,0,barang reject jual murah payah diskon nipu kapok beli bata online
550,"Barang tidak sesuai dengan deskripsinya, packing asal2an (kardus sobek)",0,barang sesuai deskripsi packing asal kardus sobek
551,Ukurannya tdk sesuai dengan keterangan jd sandalnya kurang besar 1 nomer diatasnya walau sampainya cepat.....,0,ukur sesuai terang jd sandal nomer atas sampai cepat
552,"Minta 45, malah kasih 43.",0,kasih
553,Ukuran yang di  minta tidak sesuai.,0,ukur sesuai
554,5 tahun saya member BATA dan saat ini saya sangat kecewa dengan pelayanan BATA Ecommerce. sungguh buruk !!!!,0,member bata kecewa layan bata ecommerce sungguh buruk
555,Produk out of stock dipakai nomor resi produk pengiriman sebelumnya. Saya sampai curiga sama tetangga dan kurir JNE. Memang sudah dikasih barang pengganti tapi tetap saja ketidak telitian kalian membuat hubungan saya dengan orang lain tidak baik. Mohon diperbaiki ke depannya.,0,produk out of stock pakai nomor resi produk kirim curiga tetangga kurir jne kasih barang ganti tidak teliti hubung orang mohon baik depan
556,"barang salah kirim
ongkos kirim bolak balik nya sama kyk harga spatu nya
jadi terima aja deh",0,barang salah kirim ongkos kirim bolak nya kyk harga spatu nya terima aja deh
557,"Produk memang sesuai deskripsi,tp pengiriman 26 hr bru sampai stelah bbrp kli teguran...ekspektasi bs unt lebaran,tp kenyataannya ga bgt.",0,produk sesuai deskripsitp kirim hr bru stelah bbrp kli teguranekspektasi bs unt lebarantp nyata ga bgt
558,Dos dan packing ancur parah,0,dos packing ancur parah
559,"saya pesan warna putih tapi yang dikirim warna abu, tolong lebih teliti dan mengecek barang sebelum dikirim.",0,pesan warna putih kirim warna abu tolong teliti ecek barang kirim
560,"Sudah d tulis d catatan no.35 tp d kirim no.36, katanya sesuai sistem, krn saya pesan d no.36, oke gpp, tp d seler lain meski sesuai sistem tp kalau ada catatan utk penjual, seller nya nanya dulu, ini ngga. Bukan ngomel tp fakta, Trims barang bagus dan cepat, tp kegedean. Trims..",0,d tulis d catat no tp d kirim no sesuai sistem krn pesan d no oke gpp tp d seler sesuai sistem tp catat utk jual seller nya nanya ngga ngomel tp fakta terima kasih barang bagus cepat tp gede terima kasih
561,"Repon dan pengiriman biasa aj gak cepet, buat barang kualitas lumayan, tp ada kena lem bagian kanan kayak d foto, harus nya di cek lagi sebelum kirim dan kotak nya jg ancur banget gak rapi",0,repon kirim aj gak cepet barang kualitas lumayan tp kena lem kanan kayak d foto nya cek kirim kotak nya jg ancur banget gak rapi
562,"Saya pesan nomer 40, yang dtg nomer 39. Jd kekecilan. Mentang2 beli di flash sale, dikasihnya gak sesuai. Kecewa. Bgt",0,pesan nomer dtg nomer jd kecil mentang beli flash sale kasih gak sesuai kecewa bgt
563,Terlalu kecil.. Rantai terlalu pendek,0,rantai pendek
564,pesan tanggal 5 sampe tanggal 11 super sekali,0,pesan tanggal sampe tanggal super
565,kualitas tidak sesuai harga,0,kualitas sesuai harga
566,Salah satu Official store yg paling mengecewakan. Saya sudah membayar extra untuk JNE Yes dan diorder 4 hari sebelum liburan tapi saya harus menunggu 11 hari hingga sampai ke tangan saya. Barang yg dikirim pun tidak mulus dan seperti barang reject. Not recommended!,0,salah official store kecewa bayar extra jne yes order libur tunggu tangan barang kirim mulus barang reject not rekomen
567,"Sekelas official store begini nih? Demi rating pengiriman? Hahaha mending gausah di proses deh, udah basi banget order kapan dikirim kapan",0,kelas official store nih rating kirim hahaha mending gausah proses deh udah basi banget order kirim
568,utk tas seharga 299rb..kualitas biasa saja,0,utk tas harga rbkualitas
569,Motifnya tidak seperti yang ada d gambar.. kecewa,0,motif d gambar kecewa
570,"seumur2 suka sm brodo, tp dikecewakan ketika beli sptu ini. bbrp jahitan tdk rapi, bahkan lepas. seperti beli second, bau sepatunya aja yg baru. iya tau kok ini produk WH sale, tp perhatikan lg kelayakan produk. gabisa retur ya? baiklah.",0,umur suka sm brodo tp kecewa beli sptu bbrp jahit rapi lepas beli second bau sepatu aja iya tau produk wh sale tp perhati lg layak produk gabisa retur ya baik
571,"untuk harga hampir 500k, jujur kualitasnya ckup mengecewakan...",0,harga k jujur kualitas ckup kecewa
572,pesan 24 nyampai tujuan tgl 29 lama banget bro padahal pakai jne yes,0,pesan nyampai tuju tgl banget bro pakai jne yes
573,bad service! smoga lebih menghargai costomer,0,bad service smoga harga costomer
574,Kenapa barang yang datang tidak sesuai yang saya pesan? Saya sudah terlanjur tekan transaksi selesai. Mudah2an pesanan saya yang sedang proses sesuai dengan pesanan saya,0,barang sesuai pesan lanjur tekan transaksi selesai mudah pesan proses sesuai pesan
575,lumayan lumayan lumayan deh,0,lumayan lumayan lumayan deh
576,Barang kosong. Habis..,0,barang kosong habis
577,lumayan lumayan lumayan luayan,0,lumayan lumayan lumayan luayan
578,bad service! semoga lebih menghargai customer,0,bad service moga harga customer
579,Zipper nya rusak 😞 padahal br 1 kali pakai,0,zipper nya rusak br kali pakai
580,"Kecil2 kaos kakinya
Gak muat dikaki anak saya",0,kaos kaki gak muat kaki anak
581,"Proses pengiriman cepat. Proses penjualan kurang bagus. Jika buyer tidak catat size dan warna, mohon tanya buyer mau size apa. Jangan kirim size random dan semua pack motif dan warna sama semua. Tidak ada inisiatif sendiri sama sekali.",0,proses kirim cepat proses jual bagus buyer catat size warna mohon buyer size kirim size random pack motif warna inisiatif
582,Packing ke luar kota harusnya pake bubble wrap kak. Jadi gak penyok2 kotaknya.,0,packing kota pake bubble wrap kak gak penyok kotak
583,"Produk nya bagus, Admin Tokonya yang gak bagus, baru transfer via VA M-Banking BCA 1Menit salah alamat, gabisa di cancel + gabisa dirubah alamatnya sama ini official store, gak professional nyusahin konsumen, Saya sampai Harus buat Surat pernyataan ke pihak JNE, Dan Menelpon pihak JNE Jakarta + Bandung (Pusat) karena perubahan alamatnya tidak dibantu sama Sekali, Belanja Online Paling Menyebalkan yang pernah Saya alami.",0,produk nya bagus admin toko gak bagus transfer via va m-banking bca menit salah alamat gabisa cancel gabisa rubah alamat official store gak professional nyusahin konsumen surat nyata jne telpon jne jakarta bandung pusat ubah alamat bantu belanja online sebal alami
584,"Ukurannya kecil, klo mau beli size dilebihin. misalkan size 42 belinya 43. size 43 belinya 44.",0,ukur klo beli size dilebihin size beli size beli
585,Padahal udah tulis di keterangan tentang size yang dipesan tapi dikirimnya size yang beda dan saat mau di tukar ribet banget 😒 kapok,0,udah tulis terang size pes kirim size beda tukar ribet banget kapok
586,Bahan sepatu kaku kalau di pakai bikin kaki lecet,0,bahan sepatu kaku pakai bikin kaki lecet
587,Goodquality but the Worst marketing managers without any mutual respect for cust,0,bagus quality but the worst marketing managers without any mutual respect for cust
588,"Barangnya sih oke tp slow banget responnya, coba deh tingkatkan lagi ke depannya",0,barang sih oke tp slow banget responnya coba deh tingkat depan
589,Gak layak disebut jam pria.  Strap kecil diameter jg krg utk dipake cowok. Sy kasih sm pembantu sy jamnya (cewek). Cukup sekali.,0,gak layak jam pria strap diameter jg krg utk dipake cowok sy kasih sm bantu sy jam cewek
590,Saya minta kembalikan dana kecewa bgt TDK sesuai digambar besar DTG kecil sekali,0,kembali dana kecewa bgt sesuai gambar dtg
591,"Jam tangan anak2 di jual.ukuran terlalu kecil.kecewa belanja disini.....jangan belanja disini,diskon tapi ga jelas ukurannya.",0,jam tangan anak jualukuran kecilkecewa belanja disinijangan belanja disinidiskon ga ukur
592,Model bagus. Tp deskripsi specsnya salah smua. Saya lenganny kecil. Liat ini spek ny diameter 44mm jd saya beli. Trnyata 51mm kayak yg wrna kuning (pdhl saya naksir yg wrna kuning. Tp krn ini 44mm jd beli ini d. Lah trnyata sama aja ukurannya sama yg kuning). Jd bagong bgt kayak jam power ranger. Admin jg ga friendly. Ga mo ngaku salah,0,model bagus tp deskripsi specsnya salah smua lenganny liat spek ny diameter mm jd beli trnyata mm kayak wrna kuning pdhl naksir wrna kuning tp krn mm jd beli d trnyata aja ukur kuning jd bagong bgt kayak jam power ranger admin jg ga friendly ga mo ngaku salah
593,"Sekelas official store jual barang bm mesin jelek kacau, semoga berkah aja. Jangan percaya harga diskon nipu. Merugikan",0,kelas official store jual barang bm mesin jelek kacau moga berkah aja percaya harga diskon nipu rugi
